Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Free_Time_Activity,Social_Media_Impact
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8,"Люблю читать книги и смотреть сериалы, иногда гуляю с подругой","Соцсети помогают мне оставаться на связи с друзьями, но иногда отвлекают от учебы"
2,22,Male,Graduate,India,2.1,Twitter,No,7.5,8,Single,0,3,"В свободное время занимаюсь спортом, хожу в тренажерный зал, также люблю играть в шахматы","Пользуюсь соцсетями в основном для работы и чтения новостей, особого влияния не замечаю"
3,20,Female,Undergraduate,USA,6.0,TikTok,Yes,5.0,5,Complicated,4,9,"Зависаю в TikTok, смотрю видео, иногда танцую. Также люблю готовить","Соцсети занимают почти всё свободное время, из-за них не высыпаюсь и учеба страдает"
4,18,Male,High School,UK,3.0,YouTube,No,7.0,7,Single,1,4,"Играю в компьютерные игры, смотрю стримы на YouTube, встречаюсь с друзьями","Смотрю YouTube для развлечения и самообразования, это положительно влияет"
5,21,Male,Graduate,Canada,4.5,Facebook,Yes,6.0,6,In Relationship,2,7,"Читаю научные статьи, программирую, провожу время с девушкой","Использую Facebook для общения в группах по интересам, но иногда залипаю"
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9,"Рисую, слушаю музыку, иногда пишу стихи","Инстаграм вдохновляет меня на творчество, но из-за него я поздно ложусь спать"
7,23,Male,Graduate,Germany,1.5,LinkedIn,No,8.0,9,Single,0,2,"Путешествую по выходным, читаю профессиональную литературу","LinkedIn использую для нетворкинга, это помогает карьере"
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,6,In Relationship,2,8,"Танцую, хожу на вечеринки с друзьями","В Snapchat общаюсь с друзьями, иногда ссоримся из-за переписок"
9,18,Male,High School,Japan,4.0,TikTok,No,6.5,7,Single,1,5,"Смотрю аниме, играю в мобильные игры","TikTok помогает расслабиться после школы, но иногда отвлекает от уроков"
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7.0,7,In Relationship,1,4,"Занимаюсь йогой, готовлю корейские блюда, смотрю дорамы","Соцсети использую для вдохновения в кулинарии, особых проблем нет"
